Id, [Rank] Name [Guild], Wins, BW Level, Kills, Final Kills, W/L, K/D, Final K/D
496,[MVP+] ItzMD [ENIGMA],5245,581,16643,18397,1.59,0.58,5.94
497,[MVP+] Demorphine,5239,339,9774,12583,3.84,0.51,9.29
498,[MVP++] Mikala1351 [IHQ],5235,638,30140,19232,1.31,1.08,4.76
499,[MVP++] LowkeyBee [ANNOY],5230,488,29086,16687,2.66,1.32,7.75
500,[MVP+] NotBuff [RT],5227,413,21600,21672,2.02,0.80,9.18
501,Interstelar [NONS],5225,481,23487,17171,1.12,0.61,3.87
502,[MVP+] AceLuvBoliTu,5223,420,9639,13991,4.85,0.73,13.69
503,[MVP+] diamante4316 [ITAPRO],5210,451,22781,20784,2.59,1.41,10.84
504,[MVP+] Kozzai [FAZE],5205,359,9960,12629,4.77,0.58,11.22
505,[MVP+] BloodEffect [IYN],5205,304,7361,15257,22.73,0.89,58.23
506,[MVP++] Savaer [SWEATS],5199,514,21976,16765,1.83,0.83,5.84
507,[MVP+] ScaffoId,5196,472,23564,17687,1.32,0.64,4.72
508,[MVP++] Kajacz [NERDS],5196,425,15985,17162,3.88,0.96,12.40
509,[MVP+] Dupery,5191,492,26863,18675,2.79,1.19,10.05
510,[MVP++] WarAndPeace [FAZE],5188,460,14408,15064,2.28,0.77,6.43
511,[MVP+] PanicKk [AFLAME],5187,619,24771,18012,0.88,0.70,3.15
512,[MVP+] Ayerin [KOE],5185,324,13238,16015,6.49,0.88,21.13
513,[MVP++] Madgical [THORN],5183,575,13481,15006,4.17,0.68,10.87
514,[MVP+] NCKO,5183,421,16972,18734,3.27,0.72,10.89
515,[MVP+] SMAJoUR,5172,520,13043,13286,2.78,0.48,7.49
516,[MVP+] xUnGodly [ALLIED],5172,482,30999,27982,1.88,1.24,10.21
517,[MVP++] Zethia [WOKE],5171,372,20426,20043,4.14,1.13,15.38
518,[MVP+] HoHoCloe [TURDLE],5159,553,10366,10050,5.40,0.47,8.23
519,[MVP++] hypx [FAZE],5158,510,23478,11087,1.99,0.74,4.22
520,[MVP+] oLocal [ABYSS],5154,571,28291,21501,0.71,0.63,2.96
521,[MVP+] Trior [STORM],5147,406,14612,17970,3.71,0.74,12.51
522,[MVP++] heatinq [ENIGMA],5138,436,14795,13511,4.67,0.74,11.53
523,[MVP+] Heatings,5132,368,7919,12381,5.57,0.63,11.34
524,[VIP] beam_JP,5132,278,9758,13454,4.13,0.63,9.36
525,[MVP+] derski,5127,470,19290,15359,3.97,0.95,12.60
526,[MVP++] Meeeeeep [ΘREBLΘ],5121,649,24572,17292,1.14,0.76,3.86
527,[MVP+] Wilfreddakiller [BLUCRU],5106,294,9529,13626,5.35,0.76,13.20
528,[MVP+] ObsidianTacos [STHAKL],5102,335,8955,12564,1.99,0.38,5.00
529,[MVP+] allie6d [STORM],5098,389,13729,12331,2.15,0.64,5.45
530,[MVP+] Codyle [GOD],5096,523,23447,10544,2.44,0.69,4.71
531,[VIP] catzzy [ANNOY],5092,377,11189,14202,5.07,0.60,13.56
532,[MVP+] iFlexy [SAD],5092,544,14894,9590,1.92,0.49,3.44
533,[MVP+] SHAMZO [IYN],5092,319,10805,15514,8.98,0.88,24.70
534,[MVP+] qmss [SAD],5087,408,12802,11338,1.74,0.48,3.61
535,[MVP+] baaaaaaaaaaaaad [HEARTS],5084,468,18925,17614,1.77,0.67,6.27
536,ImFifty [REMIX],5080,615,13121,12226,2.79,0.56,6.71
537,[MVP+] LIMMJ [ENIGMA],5078,577,14984,18460,1.45,0.52,5.01
538,[MVP++] FeltyShoe [THORN],5074,547,23616,17878,1.69,0.82,5.69
539,[MVP++] oNotes [EX],5072,389,11741,16903,6.07,0.74,18.76
540,[MVP+] MeanKills [FAZE],5071,387,24500,19246,2.80,1.31,10.90
541,[MVP+] Dqli_ [TRAGEDY],5065,429,17903,16671,1.37,0.63,4.20
542,[MVP+] MyAustralianPing [LTG],5060,384,12946,16601,2.37,0.78,7.21
543,[MVP+] Surgefx [BLOOD],5060,470,19369,18305,2.02,0.66,7.38
544,[MVP+] OfficiallyAlex [ANNOY],5056,332,14700,18851,7.64,1.07,27.80
545,[MVP+] MartinsGG,5045,283,15955,13381,1.92,0.64,5.73
546,[MVP++] NotAtRIP [ANNOY],5030,466,18028,17884,2.18,0.84,7.26
547,[MVP+] NoEsteem [DARK],5026,434,18533,16639,1.43,0.61,5.42
548,[MVP+] wahk [BLOOD],5025,264,8545,16681,62.04,0.90,168.50
549,[MVP+] ItzLz [ESSR],5012,380,15831,11989,2.57,0.66,5.67
550,[MVP++] ItsTUF [BRAVO],5000,559,22964,21365,1.81,0.93,10.13
551,[MVP+] SupremeAndFresh [HECKER],4992,251,5878,8747,4.64,0.34,7.79
552,[MVP++] mlelm [ABYSS],4987,438,16105,14653,3.47,0.80,9.71
553,[VIP] ricokatie [FADE],4984,239,5471,10873,12.40,0.52,25.29
554,[MVP+] Diiiablo,4984,404,9897,9912,3.02,0.45,5.15
555,[MVP+] SMBFF [AFK],4980,480,32125,19203,2.03,1.07,8.20
556,[MVP+] Rosepha [IYN],4977,336,8956,11007,3.99,0.66,11.37
557,[MVP+] Kananno,4966,424,26067,22344,1.79,1.00,8.29
558,[MVP++] oShawty [TRAGEDY],4958,455,21861,11666,1.32,0.79,2.91
559,[MVP+] DarkReaperz,4953,524,16446,15167,3.98,0.99,12.96
560,[MVP++] elkkkk [C],4947,533,21448,15819,1.28,0.72,4.50
561,[MVP+] GangstaDemon,4941,292,6680,11230,6.81,0.43,14.32
562,[MVP+] HexicXD,4937,346,10372,11935,2.00,0.45,4.91
563,[MVP+] pupuchaan [PUPU],4933,324,9343,15268,5.59,0.45,19.78
564,[MVP+] ActuallyLit [HAWT],4926,629,25598,16707,0.80,0.75,2.75
565,[MVP+] ItsALieThatI [HEARTS],4926,546,15206,14743,1.36,0.46,4.19
566,[MVP+] Thriftys,4922,333,12629,12221,1.49,0.44,3.82
567,[MVP+] ohGenny [ABYSS],4922,575,23336,16726,1.10,0.62,3.71
568,[MVP+] aleksowo,4917,567,26505,18624,1.42,0.76,5.43
569,[MVP+] Savagepanada [RUSH],4916,528,31770,21531,1.06,0.91,4.69
570,[MVP+] SelfDiagnose [ADDICT],4916,477,15386,9444,4.07,0.63,7.64
571,[MVP+] DontName [MOVE],4915,470,14687,14165,2.39,0.80,7.79
572,[PIG+++] Technoblade [NERD],4908,221,7682,20096,19.02,1.02,77.59
573,[MVP+] silliests [HEARTS],4900,510,19469,18537,1.54,0.63,5.74
574,[MVP+] Mqdelin [ROCK],4897,779,31615,15209,0.79,1.00,2.61
575,[MVP+] Lithirz [FAZE],4891,474,21304,13226,1.48,0.60,4.59
576,[MVP+] IrlPriest,4890,406,12694,12336,1.74,0.51,4.35
577,[MVP++] Tashicat1 [ANNOY],4890,619,15419,8802,1.67,0.53,2.95
578,Pairel [LUCID],4872,634,36773,17472,0.81,0.88,3.13
579,ItsHard [IYN],4867,389,16188,12382,5.25,0.95,12.64
580,[MVP+] kittein [ANNOY],4860,407,14351,12479,2.78,0.53,6.97
581,[MVP+] NinjaRaiser [ROICE],4845,365,14690,19190,4.13,0.93,17.51
582,[VIP] sadreax [IYN],4838,311,9948,13199,3.77,0.65,10.56
583,[VIP+] MysteryXzero,4832,454,17811,17796,1.46,0.62,5.61
584,[MVP++] cuteily,4830,416,23788,21204,1.32,1.09,7.07
585,[MVP+] ChampSky37 [QT],4828,554,21395,18470,2.04,1.04,7.98
586,[MVP+] LLDie [MASTER],4825,535,22778,13887,0.83,0.52,2.45
587,[MVP+] yatu,4813,413,10415,10688,1.74,0.44,3.89
588,[MVP++] OhKoala [COOL],4807,473,11589,7841,1.60,0.39,2.70
589,[MVP+] manoxide [RMPGE],4804,488,18309,16507,1.41,0.71,4.79
590,[MVP+] NotScared,4801,462,23900,19856,1.22,0.77,5.65
591,[MVP+] Styn,4799,221,7237,11903,6.64,0.77,15.52
592,[MVP+] theonlymaxie [ABYSS],4797,506,14046,14798,1.78,0.59,5.26
593,Cryptocurrencies [ANNOY],4790,390,14092,16214,3.68,0.92,11.96
594,[MVP+] Ghmmy [SB],4785,463,19708,13731,2.97,0.92,8.45
595,[VIP] DomiPlayzMC,4784,536,17477,15960,2.29,0.64,8.18
596,[MVP+] Deloro,4783,326,15235,14469,1.40,0.62,4.87
597,[MVP++] egxrl [ＳＵＢ２ＭＥ],4782,419,14737,16199,4.74,1.05,14.65
598,[MVP+] adamster,4779,427,18049,14317,1.93,0.68,5.85
599,[MVP+] YaGirlElla,4778,294,15041,14510,2.85,0.86,8.12
600,[MVP+] IlyMartins [ITALY],4771,427,20938,14787,1.25,0.72,4.09
601,[MVP+] Jyroz [GOD],4769,458,11833,7991,2.25,0.53,3.66
602,[MVP++] Da_Boss106 [SORE],4766,505,14551,11563,1.19,0.50,3.01
603,[MVP++] Avila [DEMON],4763,405,8934,16236,3.13,0.45,9.65
604,[MVP+] ChubbyKars [STORM],4755,312,10110,14831,8.10,0.65,23.62
605,[MVP+] mazye,4752,486,14390,14871,1.35,0.49,4.31
606,[MVP+] Hugeness [ABYSS],4750,464,19582,16485,1.67,0.79,6.01
607,[MVP+] KurokosDog,4748,228,8531,12095,6.26,0.62,17.23
608,[MVP++] Jessifier [IYN],4748,585,12315,11884,1.96,0.79,5.26
609,[MVP+] SweEmpire [LIGHT],4746,433,18979,14968,1.41,0.77,5.12
610,[MVP++] Sansaa,4745,260,7330,10816,3.61,0.60,7.42
611,[MVP++] pretsalt [TRYHARD],4742,749,26900,15294,0.87,0.68,2.81
612,[MVP+] Butnow,4740,423,21739,19112,2.59,1.03,10.45
613,[MVP++] Rowren [CCF],4739,554,33535,21002,0.67,0.68,3.01
614,[VIP] windows1plays [FAZE],4731,422,18605,15251,3.03,0.92,8.94
615,[MVP+] 9nw,4729,413,10942,14367,2.68,0.55,9.09
616,[VIP] ViPCreators [SAVAGE],4727,405,26440,16211,3.50,0.99,11.17
617,[MVP+] ZenZenZense,4724,449,24039,16703,3.27,0.96,12.18
618,[MVP+] cinerary [CUTIE],4722,318,18129,20172,6.05,1.28,25.41
619,[MVP+] Innujin [IYN],4722,240,6619,14805,17.75,0.88,57.16
620,[MVP+] Difsy [LUNA],4721,449,21887,16517,2.39,0.99,8.28
621,[MVP+] JermOP [STAR],4719,386,11844,10509,1.20,0.39,2.59
622,[MVP+] Rinos [IYN],4713,338,13903,16008,3.90,1.00,17.77
623,[MVP] Whosbad [RUSH],4708,434,19687,13696,1.47,0.59,4.79
624,[MVP+] Endering [PUFFY],4708,454,17320,15367,2.47,0.89,8.03
625,[MVP+] FecuV2 [KEK],4695,216,5436,12686,24.08,0.43,51.57
626,[MVP+] ik3non [S],4692,524,21302,13882,0.95,0.65,2.64
627,[MVP+] _iPotato,4691,435,11548,13538,3.97,0.55,10.78
628,[MVP+] SpookyZak [ABYSS],4690,564,14175,13660,2.50,0.69,6.85
629,[MVP+] Ladu [WOKE],4682,463,25955,16929,1.49,0.89,6.35
630,[MVP+] aktei [KEK],4682,307,13273,15555,5.88,0.76,16.37
631,[VIP] Zuew [HAX],4681,356,14801,12013,1.47,0.64,3.95
632,[MVP++] autc [DDONG],4680,561,22084,12138,0.65,0.46,1.97
633,[MVP+] Matterho [NIGHT],4677,295,9731,14791,3.48,0.68,10.76
634,[MVP+] bbgz [CUT],4677,452,22846,11864,1.52,1.08,3.92
635,[MVP+] WithoutColour,4675,479,20585,14008,0.96,0.94,2.89
636,[VIP+] __Maxy,4674,519,14293,9176,1.65,0.54,3.30
637,[MVP++] fulpsito [BLOOD],4663,265,8869,15295,21.10,0.90,58.16
638,[MVP++] eggrollWilly [HK],4661,564,18568,15645,2.64,0.92,8.90
639,[MVP++] Filsone [HYP],4659,532,26943,15810,1.10,0.81,3.71
640,[MVP+] BlatantReech,4643,265,10671,19072,4.38,0.71,17.21
641,[MVP+] ThankfulWilliam,4642,543,25364,16717,1.56,0.97,5.85
642,[MVP+] Tanyax,4639,307,10586,10966,2.02,0.63,5.02
643,[MVP+] Adjust_ [ENIGMA],4637,403,22156,21671,2.09,1.00,9.41
644,[MVP+] Nofast [TRAGEDY],4632,418,16214,8749,1.33,0.59,2.62
645,[MVP++] Dogcatwhat [BLOOD],4631,252,7608,13438,14.34,0.80,41.48
647,[MVP+] leafchips,4626,505,13666,9901,1.94,0.90,4.43
648,[MVP+] ibrahimzzz [FAZE],4624,432,10534,11411,2.22,0.48,6.15
649,[MVP+] sqcce [QEWETY],4619,504,29352,16771,0.93,0.63,3.43
650,[VIP+] iiDrakenBro [DRAGON],4613,417,15818,11936,1.11,0.49,3.04
651,[VIP] GlowSlow [TRAGEDY],4612,337,12278,13994,3.25,0.63,9.80
652,[MVP] Bunny568 [TW],4611,421,10561,12691,2.14,0.51,6.08
653,[MVP++] vRoRo [WOKE],4610,481,21593,12223,2.92,0.96,7.28
654,[MVP+] RyanKinq,4608,318,12739,9539,2.25,0.67,4.88
655,[MVP+] oSharon [S],4602,283,7326,9159,2.57,0.36,5.23
656,[MVP+] DalekLogic [GANG],4599,401,19340,17626,3.91,1.42,15.01
657,[MVP+] Drdy,4597,330,15394,16234,3.25,0.66,11.12
658,[MVP] xJasse [LIX],4595,568,23728,13473,0.97,0.68,2.81
659,[MVP+] ArtificialGod,4594,479,19255,20959,2.33,1.12,10.40
660,[MVP+] d1ed [STORM],4594,434,20182,13516,1.31,0.66,4.19
661,[MVP++] Bluq [LUCID],4587,583,17846,13866,1.75,0.62,5.06
662,[MVP+] Defiar [ANNOY],4585,479,21456,15748,1.79,0.72,6.60
663,[MVP+] OoNinja [TRAGEDY],4572,476,14487,12742,1.50,0.49,4.36
664,[MVP+] Lacida [VAULTIC],4571,336,16888,16605,2.33,0.81,8.17
665,[MVP+] ProGamingSenpai [CURSED],4570,560,22518,16458,1.13,0.86,4.10
666,[MVP++] 1Hobo [BLOKE],4567,505,22554,15676,1.15,1.07,3.92
667,[MVP++] Derptism [SOS],4558,397,12081,10823,1.89,0.63,4.50
668,[MVP+] PlsHateMe [LEGIT],4555,621,28811,17153,0.42,0.55,1.65
669,[MVP+] vbubblq,4553,425,19509,17075,2.42,1.14,9.11
670,Rudiments [ALLURE],4551,379,14264,11163,2.42,0.57,5.93
671,[MVP+] DhitCzL,4538,217,3991,7723,5.38,0.43,8.48
672,[MVP+] Pelist [ASSIST],4538,427,22624,15199,1.93,0.87,6.80
673,[MVP+] unnew [EGIRL],4536,509,24621,21353,0.97,0.82,5.39
674,[MVP+] MaskedPlayz,4532,417,16168,15978,1.60,0.61,5.59
675,[MVP+] ComboQ [FAZE],4532,329,10575,12758,5.75,0.69,15.06
676,[MVP+] Spxcific [LOLIS],4528,520,15041,9803,1.14,0.55,2.43
677,[MVP+] Y42 [LIGHT],4528,336,13038,14786,1.89,0.89,6.76
678,[MVP+] AndydeARG,4523,457,11165,10536,1.75,0.57,3.90
679,[MVP+] babyluigig4 [YT],4521,556,27859,18134,1.36,1.10,5.55
680,[MVP++] PopUps [XO],4520,479,18738,16075,1.66,0.94,5.63
681,[MVP+] maxblock123,4509,430,21810,14318,1.71,0.92,5.25
682,[MVP+] ThankfulSydney [LIX],4496,603,17684,8723,0.99,0.55,1.99
683,[MVP++] jordancutie [TRAGEDY],4490,447,11077,9108,2.12,0.55,4.13
684,[MVP+] DontBanMeShrek,4490,364,13137,14119,2.65,0.76,7.68
685,[MVP+] CallMeIcee [WEIFAT],4483,412,8870,11192,3.79,0.47,9.14
686,[MVP+] xDavids [CUT],4477,175,6960,14177,95.26,0.64,218.11
687,[MVP+] Chorei [BRASIL],4476,432,15773,11390,1.66,0.77,3.93
688,[MVP++] GooseyGang [TALIBS],4475,391,15196,12560,1.86,0.58,5.42
689,[VIP] Kqwy [TRAGEDY],4472,450,11280,9829,2.11,0.61,4.40
690,[MVP+] dxdamig,4468,465,18744,9038,0.98,0.44,1.90
691,[MVP+] WolfRift [NOLIFE],4463,312,10035,11011,2.67,0.48,6.56
692,[MVP+] xTaavi,4462,504,15436,14372,2.52,0.90,7.65
693,[VIP+] DragonTomas [FALL],4461,215,8564,14487,6.20,0.72,23.40
694,[MVP++] ohparis [MISC],4460,397,18947,12791,1.28,0.58,3.54
695,[MVP+] Tristiqn [YEEHAW],4458,497,21477,17583,1.41,0.80,5.70
696,[MVP++] GhoulsRBae [UTMOST],4456,454,18247,15023,2.32,1.02,7.46
697,Thenicicles [GGMEN],4454,273,10070,17286,6.72,0.95,38.76
698,[MVP+] Noctorno [YES],4452,539,23724,15385,1.48,1.27,5.42
699,[VIP+] SubtleDepression [DARK],4448,259,9790,11139,2.71,0.52,6.76
700,[MVP+] 21Pandaz,4445,320,10742,13542,8.32,0.79,22.68
701,[MVP+] Seiba,4442,256,12035,14569,7.09,0.81,22.21
702,[MVP+] spookyhhills [ЕЅПАТЕ],4440,497,16550,15519,2.05,0.72,7.06
703,[MVP+] aInspire [ANNOY],4439,424,14827,10965,2.48,0.77,5.93
704,[MVP+] Atolla [SCRAT],4434,475,14142,15870,2.57,0.72,8.71
705,[MVP+] Wurple [QT],4432,542,23677,18381,1.44,1.11,6.50
706,[MVP+] BIGBOYBIAZ [SQUISH],4430,673,26286,15909,0.54,0.69,1.94
707,[MVP+] Max166,4427,192,8534,14709,15.87,1.15,49.19
708,[MVP+] Fuzhh,4423,257,12245,17742,8.36,0.81,30.07
709,[MVP++] Distilling [DARK],4416,426,15857,13025,1.80,0.80,5.67
710,[MVP+] Divinlockt [NOLIFE],4414,364,16150,18351,2.62,0.82,11.59
711,[MVP+] walkgarss [JL],4412,306,6790,7700,12.36,0.40,20.87
712,EbenezerLembe [STATS],4412,410,14859,5054,1.67,0.66,1.89
713,[MVP++] Gynesis [NOLIFE],4412,373,15709,20565,2.74,0.88,12.54
714,[MVP+] Visity,4407,261,10274,14297,12.96,0.74,33.02
715,[MVP+] KingRGA [ENIGMA],4400,496,17943,14396,1.59,0.71,5.36
716,[MVP+] meBooks [STORM],4398,518,11496,11899,1.70,0.49,4.99
717,insiqhts,4397,473,17451,14962,0.89,0.82,3.60
718,[MVP+] Soaler [ŖĄЩŖ],4390,525,19370,19170,3.24,1.40,14.01
719,[MVP++] MMeisterr [ENIGMA],4387,353,9708,12228,8.59,0.65,23.43
720,[MVP++] HmmRekt [BLOOD],4383,185,3966,9400,8.01,0.44,14.26
721,[MVP+] StopPotatoWifi [BIRB],4376,528,20956,14300,1.17,1.02,4.04
722,[MVP++] Homa [ENIGMA],4376,370,15604,14294,2.79,0.87,9.04
723,[MVP+] Bedwarz [LIGH],4375,489,21345,18081,1.09,1.06,4.95
724,[MVP+] 6wf,4369,362,16757,8929,1.14,0.53,2.33
725,[MVP++] Puffedy [420],4364,445,18475,14318,1.13,0.77,3.71
726,[MVP+] xNvErB1cK [WEIFAT],4363,551,23001,11182,1.33,0.89,3.42
727,[MVP+] Swayv [ENIGMA],4360,403,26680,13423,1.15,0.74,4.08
728,[MVP+] overexaggeration [DEMON],4360,401,12485,14791,2.89,0.93,10.17
729,[MVP+] Objets,4359,250,10959,13837,10.98,1.09,29.82
730,[MVP+] Mabungo,4358,374,18243,11600,2.07,0.80,5.53
731,[MVP+] Miyn,4358,201,6613,10447,6.26,0.53,14.95
732,[MVP++] crinqing [ABYSS],4357,437,11007,7141,1.14,0.40,1.99
733,[MVP+] crcl [FAZE],4355,356,16884,16526,1.64,0.66,6.23
734,[VIP] Leanee [TRAGEDY],4352,448,24602,11877,1.49,0.74,3.96
735,[MVP++] Jqsie [STAR],4352,457,21488,15511,3.08,1.52,9.73
736,RamenEater69 [NONS],4338,475,18115,15426,2.27,0.75,7.40
737,[MVP+] ViperLink [ENIGMA],4335,405,18236,15825,1.82,0.91,6.43
738,[MVP+] Stronq [TRAGEDY],4328,401,14348,15172,0.92,0.58,4.01
739,[YOUTUBE] SB737 [XBOX],4317,224,7159,12555,6.38,0.61,16.85
740,[MVP+] Scubix [H],4316,225,6377,14565,5.79,0.62,17.57
741,[MVP+] Fqrret [DEMON],4315,321,13565,11719,1.57,0.71,4.35
742,[MVP+] OuO_87 [PANNI],4311,424,11160,9649,2.59,0.51,5.82
743,[MVP+] ThankfulYan [ANNOY],4303,336,9454,13185,6.71,0.71,22.81
744,[MVP+] xMody [GOAL],4300,223,7109,9074,3.41,0.44,6.63
745,[MVP+] vintiii [2NISIA],4297,383,13030,14425,4.32,0.89,13.31
746,[MVP+] Beiorg,4295,303,7322,8463,2.17,0.30,4.38
747,[MVP++] Emiwy [FOO],4295,459,7996,5722,1.25,0.57,1.78
748,[MVP+] Tixh [UTMOST],4295,497,14888,9041,0.59,0.37,1.42
